appMasterHost,appId,runtime
normal_cluster,application_1758535431786_10245,0 days 00:16:32.503000
normal_cluster,application_1758535431786_10360,0 days 00:00:24.279000
normal_cluster,application_1758535431786_10361,0 days 00:00:26.559000
normal_cluster,application_1758535431786_10358,0 days 00:01:15.930000
normal_cluster,application_1758535431786_10208,0 days 00:20:40.541000
normal_cluster,application_1758535431786_10320,0 days 00:06:07.525000
normal_cluster,application_1758535431786_10199,0 days 00:21:06.443000
normal_cluster,application_1758535431786_10355,0 days 00:02:33.438000
normal_cluster,application_1758535431786_10317,0 days 00:06:40.516000
normal_cluster,application_1758535431786_10354,0 days 00:03:04.124000
normal_cluster,application_1758535431786_10367,0 days 00:00:20.565000
normal_cluster,application_1758535431786_10353,0 days 00:03:21.249000
normal_cluster,application_1758535431786_10369,0 days 00:00:27.382000
normal_cluster,application_1758535431786_10302,0 days 00:10:53.622000
normal_cluster,application_1758535431786_10372,0 days 00:00:23.233000
normal_cluster,application_1758535431786_10368,0 days 00:01:11.525000
normal_cluster,application_1758535431786_9974,0 days 01:08:08.258000
normal_cluster,application_1758535431786_10366,0 days 00:01:29.805000
normal_cluster,application_1758535431786_10347,0 days 00:05:33.603000
normal_cluster,application_1758535431786_10370,0 days 00:00:54.074000
normal_cluster,application_1758535431786_10365,0 days 00:02:05.558000
normal_cluster,application_1758535431786_10364,0 days 00:02:15.875000
normal_cluster,application_1758535431786_10374,0 days 00:00:31.335000
normal_cluster,application_1758535431786_10373,0 days 00:01:13.063000
normal_cluster,application_1758535431786_10375,0 days 00:01:32.531000
normal_cluster,application_1758535431786_10377,0 days 00:00:56.298000
normal_cluster,application_1758535431786_10379,0 days 00:00:31.780000
normal_cluster,application_1758535431786_10376,0 days 00:01:21.667000
normal_cluster,application_1758535431786_10371,0 days 00:03:13.500000
normal_cluster,application_1758535431786_10359,0 days 00:05:44.600000
normal_cluster,application_1758535431786_10380,0 days 00:00:38.313000
normal_cluster,application_1758535431786_10384,0 days 00:00:45.094000
normal_cluster,application_1758535431786_10385,0 days 00:00:41.114000
normal_cluster,application_1758535431786_10381,0 days 00:01:22.358000
normal_cluster,application_1758535431786_10386,0 days 00:00:29.370000
normal_cluster,application_1758535431786_10383,0 days 00:02:22.918000
normal_cluster,application_1758535431786_10343,0 days 00:12:00.232000
normal_cluster,application_1758535431786_10378,0 days 00:03:14.160000
normal_cluster,application_1758535431786_10387,0 days 00:01:44.980000
normal_cluster,application_1758535431786_10356,0 days 00:09:53.278000
normal_cluster,application_1758535431786_10382,0 days 00:03:33.240000
normal_cluster,application_1758535431786_10342,0 days 00:12:54.163000
normal_cluster,application_1758535431786_10390,0 days 00:00:31.732000
normal_cluster,application_1758535431786_10391,0 days 00:00:36.830000
normal_cluster,application_1758535431786_10124,0 days 00:39:45.047000
normal_cluster,application_1758535431786_10388,0 days 00:01:25.106000
normal_cluster,application_1758535431786_10396,0 days 00:00:17.548000
normal_cluster,application_1758535431786_10397,0 days 00:00:31.047000
normal_cluster,application_1758535431786_10393,0 days 00:01:13.674000
normal_cluster,application_1758535431786_10395,0 days 00:01:23.651000
